cbsa10,FIPS state,placefp14,county,2010 Tract,State Postal Code,cntyname,placefp,placenm,Place Name 2014,2010 CBSA Name,"Total Pop, 2010 census",cbsa10 to tract alloc factor
12060,13,4000,13121,91.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3677,0.001
12060,13,4000,13121,92,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",6468,0.001
12060,13,4000,13121,93,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4533,0.001
12060,13,4000,13121,94.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4073,0.001
12060,13,4000,13121,94.03,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4625,0.001
12060,13,4000,13121,94.04,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4207,0.001
12060,13,4000,13121,95.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4015,0.001
12060,13,4000,13121,95.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3869,0.001
12060,13,4000,13121,96.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2438,0
12060,13,4000,13121,96.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4461,0.001
12060,13,4000,13121,96.03,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4388,0.001
12060,13,4000,13121,97,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3534,0.001
12060,13,4000,13121,98.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4680,0.001
12060,13,4000,13121,98.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4020,0.001
12060,13,4000,13121,99,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4993,0.001
12060,13,4000,13121,100.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4471,0.001
12060,13,4000,13121,100.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",6027,0.001
12060,13,4000,13121,101.14,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",169,0
12060,13,4000,13121,102.06,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13,0
12060,13,4000,13121,102.11,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",1125,0
12060,13,4000,13121,103.03,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2175,0
12060,13,4000,13121,118,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2655,0.001
