,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
109,"Boulder, CO Metro Area",310032,14500,274075,21313,4051,8457,24633,11618,63290,6811,36473,10606,162942,160796,128624,2146,32172,42167,7973,4560,4857,4496,5018,4473,4736,4673,4389,8207,10759,14757,12167,8145,11311,11995,70961,72616,52284,42344
110,"Bowling Green, KY Metro Area",164245,14540,141680,27555,7140,6443,14318,7653,14600,1452,6896,1076,72930,70475,56185,2455,14290,30464,6372,4488,3976,3418,3688,3220,3809,3638,2528,5364,6463,6937,4262,1873,1686,1274,43295,44561,32106,34803
111,"Bozeman, MT Micro Area",95323,14580,90417,10151,1859,3315,10484,3474,19137,1319,6423,1965,51306,50460,48268,846,2192,12125,2151,1976,1620,2018,2063,1968,1856,2005,1705,3263,4246,5185,3101,1965,1533,1637,55553,56415,,37500
112,"Bradford, PA Micro Area",42884,14620,40637,12435,2108,2004,3157,2343,3034,227,1567,210,18025,16270,14216,1755,2054,6830,1461,1210,1238,1096,972,890,1001,1017,996,1609,1969,1870,1039,405,353,274,43965,44175,,32353
113,"Brainerd, MN Micro Area",91567,14660,85156,18313,2880,5414,11345,7669,9848,770,3421,414,40710,40127,31161,583,8966,11684,2301,2269,2355,2456,2506,2232,2034,2017,2043,3490,4626,4834,2635,1333,1094,996,48249,49355,49063,38009
114,"Branson, MO Micro Area",84930,14700,80218,19512,3109,5101,10686,3447,7138,508,2583,394,34595,33833,25923,762,7910,14972,2905,2086,2557,2514,2729,2430,2280,2073,1848,3222,2973,2901,1593,725,866,434,39096,39091,46223,35357
115,"Breckenridge, CO Micro Area",28940,14720,25952,3410,283,890,3624,1655,6939,375,2552,604,17677,17329,16462,348,867,3949,499,371,249,296,283,743,406,538,359,806,1107,1526,861,661,860,578,67983,71528,,41211
116,"Bremerton-Silverdale, WA Metro Area",255441,14740,208901,34150,6239,14708,37644,18921,34065,3241,13358,2117,117487,116443,95235,1044,21208,26349,5266,3264,3868,4160,4120,4470,4201,4416,4010,8385,11104,14432,9671,6107,5991,4274,62941,64380,40053,55778
117,"Brenham, TX Micro Area",34236,14780,26759,6118,1022,2060,2821,1937,3526,153,1004,262,14306,14111,11832,195,2279,4325,844,582,701,590,751,686,591,569,529,1027,1412,1842,660,424,433,311,51269,54675,32744,36934
118,"Brevard, NC Micro Area",32928,14820,29744,5911,1067,1321,4078,2050,4265,457,2019,546,13272,13012,9466,260,3546,4017,937,699,903,819,802,825,1207,624,853,1226,1532,1782,598,443,176,241,45114,45947,38125,26344
119,"Bridgeport-Stamford-Norwalk, CT Metro Area",939983,14860,694797,130027,13458,26859,70714,37348,162883,24248,93823,9894,452977,386599,353084,66378,33515,82743,17210,10431,11901,11923,11725,10879,10377,10709,10367,19180,26759,38857,29793,23469,30068,60672,84233,94786,46418,47911
120,"Brookhaven, MS Micro Area",34765,15020,23722,6737,1389,1418,3581,2619,2109,265,984,106,12841,12091,8491,750,3600,9091,1361,1085,1449,702,813,855,682,744,493,1041,1106,1159,758,264,364,117,36473,42102,22590,
121,"Brookings, OR Micro Area",22338,15060,20458,4077,807,1984,3391,1493,2593,332,1046,175,7758,7125,6967,633,158,3682,1013,542,1017,714,831,416,589,568,595,807,1137,895,760,232,241,97,40884,41211,,56150
122,"Brookings, SD Micro Area",33046,15100,30646,3984,531,890,2338,1572,4738,154,1418,736,18488,18038,16405,450,1633,4811,647,799,789,771,641,654,638,595,614,1367,1115,1489,1026,470,353,357,50082,50600,48246,32049
123,15140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,"Brownsville-Harlingen, TX Metro Area",417947,15180,384900,46050,11674,11773,32727,14041,28347,2196,7765,1085,146057,144001,132877,2056,11124,139768,17396,11081,9335,9653,8182,6910,6319,5269,4707,8374,9954,9956,6061,3204,2624,2072,33266,33004,36583,30795
125,"Brownwood, TX Micro Area",37833,15220,34639,8053,1622,1670,4596,1311,3341,236,868,139,14820,14698,13457,122,1241,6581,962,1127,851,931,1025,747,682,736,757,1245,1156,1346,920,296,180,334,41962,42481,31548,36950
126,"Brunswick, GA Metro Area",114202,15260,80649,20224,4733,5403,12889,5837,10548,1377,5095,566,47117,46161,37026,956,9135,21749,4156,2978,2746,2861,2519,2397,2565,2196,2198,3350,3567,5071,3085,1607,1468,1424,44185,50277,26629,48156
127,"Bucyrus, OH Micro Area",42725,15340,41365,11832,1557,2344,3960,2680,2515,201,996,51,17745,17577,10437,168,7140,6888,1366,1170,1283,1267,1490,1010,1087,1139,736,1730,1835,1854,1055,322,290,164,40795,40932,,37727
128,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135734,15380,913210,198349,34243,45628,104137,91963,130375,14804,79944,10125,530448,527415,464370,3033,63045,163531,38336,27397,27638,26094,24724,24636,22067,20678,19436,37096,47566,58800,39119,22795,19868,14403,50962,56462,25652,27209
129,"Burley, ID Micro Area",43648,15420,39694,6340,1047,2249,4754,2195,2873,306,784,102,18641,18437,12913,204,5524,7146,1037,826,1013,885,965,989,770,892,833,1527,1742,1795,732,438,169,267,45287,45838,,37193
130,"Burlington, IA-IL Micro Area",47250,15460,43420,10464,1767,2923,5114,3535,4449,391,1311,173,21836,19726,16908,2110,2818,6702,1388,1206,1305,1218,1199,1307,1209,1149,1058,1614,1995,2358,1384,716,380,349,44735,45728,19318,24100
131,"Burlington, NC Metro Area",155258,15500,109891,23314,6241,7054,17241,9967,15318,1044,5027,1002,69949,69313,46511,636,22802,29042,5119,4361,4291,4778,3828,4090,3034,3354,2894,4429,5428,6964,3826,2295,1428,1426,41814,46497,31451,31018
132,"Burlington-South Burlington, VT Metro Area",215081,15540,199083,31006,4439,7211,16809,12376,36874,4239,16089,3086,115418,114185,96944,1233,17241,21790,4247,4215,3705,3437,3349,3735,3589,3699,3516,6900,9055,12450,8919,5313,4741,4278,63255,64594,41687,58036
133,"Butte-Silver Bow, MT Micro Area",34549,15580,32701,6599,1546,1197,3995,2135,3917,418,1259,155,16084,15947,14629,137,1318,6771,1740,1245,1160,860,1029,1117,756,690,728,1137,1157,1474,896,456,362,337,37749,37301,,36076
134,"Cadillac, MI Micro Area",47739,15620,46048,11268,1952,3031,4392,3277,3482,260,1292,115,19199,19071,12838,128,6233,8121,1459,1041,1444,1248,1197,1382,1131,1076,1046,1880,2037,1798,865,352,339,244,41403,41362,16400,40000
135,"Calhoun, GA Micro Area",55889,15660,50443,9966,3048,2455,4972,2293,2971,418,1316,287,23355,22989,16241,366,6748,11188,1534,1395,1277,1390,1344,1398,1042,1206,1105,1638,1897,1992,1011,451,484,375,41612,42847,25995,32918
136,"California-Lexington Park, MD Metro Area",109614,15680,86731,19374,2480,5018,10843,5180,12572,950,7640,668,54921,51433,41526,3488,9907,8384,1706,1054,1076,976,1137,1259,960,1127,1152,1953,3614,6232,5063,3927,3785,3222,86987,92783,47808,66250
137,"Cambridge, MD Micro Area",32534,15700,21754,7903,949,1671,2976,1453,2806,347,1349,172,15025,14153,9436,872,4717,5275,1027,795,818,739,846,715,675,665,602,853,1452,1750,997,612,385,334,47093,58862,28212,46490
138,"Cambridge, OH Micro Area",39626,15740,37981,10653,1103,1937,3345,2533,2326,215,1032,103,15911,15596,11452,315,4144,7784,1488,979,1177,1161,941,951,928,786,717,1501,1412,1667,887,505,308,150,40930,41395,17222,29231
139,"Camden, AR Micro Area",30289,15780,18320,8147,1186,1480,2356,1586,2043,130,929,67,12400,12246,8176,154,4070,6855,1618,1364,1172,872,957,731,591,635,400,1031,1147,899,564,314,217,165,32194,42563,22101,26488
140,"Campbellsville, KY Micro Area",24993,15820,22948,5084,1560,1039,2082,1167,1332,240,871,142,10081,9976,8096,105,1880,5658,1038,1021,847,827,800,543,610,402,419,825,826,777,416,160,119,85,33340,33879,25887,
141,"Cañon City, CO Micro Area",46809,15860,41188,8658,5415,2982,5915,2694,3364,283,1643,180,13808,13654,11054,154,2600,6272,1236,1324,1199,918,1252,1118,1017,1048,808,1528,1578,1541,921,310,234,310,40423,40451,,41794
142,"Canton, IL Micro Area",36323,15900,34328,7961,1394,2595,4127,2596,3031,136,887,102,15320,15221,8344,99,6877,4838,1027,776,1056,979,722,928,809,745,690,1338,1803,1722,1042,301,276,161,46083,45967,,
143,"Canton-Massillon, OH Metro Area",403340,15940,360258,98980,9434,21076,38084,23593,38528,2961,15322,2057,184688,183171,135668,1517,47503,58032,11856,8988,10207,9992,9279,9782,8520,8453,8014,14277,16896,18152,11879,5699,5414,3949,47132,49306,26938,45925
144,"Cape Coral-Fort Myers, FL Metro Area",663675,15980,561079,134919,19630,34674,68339,40688,79162,9489,32855,5768,258281,253474,225044,4807,28430,105166,16924,12605,13892,16030,15372,14960,13922,13473,12356,22198,26315,28413,16345,9708,9616,10158,48537,50195,34157,36948
145,"Cape Girardeau, MO-IL Metro Area",97326,16020,85162,18194,3355,5123,9174,3503,9935,626,4211,700,44075,42488,35155,1587,7333,18704,3601,2188,2681,2405,2377,2120,1822,1951,1864,3295,3678,3636,2143,1593,1156,682,43034,46561,18370,28530
146,"Carbondale-Marion, IL Metro Area",126655,16060,108129,18451,4627,6608,14316,8098,12481,1413,6638,1720,53863,53078,38887,785,14191,26636,6251,3788,3825,3153,2605,2697,2733,2685,2049,3424,4931,4916,3065,1542,1530,992,40071,42793,16830,28162
147,"Carlsbad-Artesia, NM Micro Area",55641,16100,49855,9941,2338,2687,5746,2921,3871,201,2206,163,25464,25128,24487,336,641,6237,1451,935,796,1274,912,957,1080,1009,994,1421,2212,3050,1822,1141,992,592,56618,57248,61544,47952
148,16140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,"Carson City, NV Metro Area",54482,16180,45131,8950,2087,3220,7954,3277,4923,584,2109,374,23265,22913,17086,352,5827,8787,1387,1545,1290,1262,1155,1279,1210,1168,903,1756,2311,2766,1365,1041,578,578,47668,47882,93036,43972
150,"Casper, WY Metro Area",80011,16220,74051,11483,3193,5512,11147,5739,7742,677,2849,416,40618,40098,38821,520,1277,8407,1508,1261,1634,1988,1424,1774,1161,1798,1593,2599,3645,4360,3106,1632,1436,1212,56871,58367,24891,40732
151,"Cedar City, UT Micro Area",47139,16260,42930,5365,947,2123,5334,2360,4790,314,1911,312,19335,18947,17065,388,1882,9727,990,1405,917,1086,834,958,737,779,690,1301,1867,1619,781,424,396,311,43855,45370,,22097
152,"Cedar Rapids, IA Metro Area",263003,16300,239311,43979,7117,14872,26055,21654,35619,2683,11583,1513,135062,134347,112010,715,22337,25137,5016,4922,4862,5177,4971,5503,4877,4708,4332,9223,11673,16003,9632,5832,5150,3762,59032,60285,27300,34942
153,"Cedartown, GA Micro Area",41215,16340,31331,8072,2135,1810,3394,1247,1837,405,1212,64,15836,15585,9288,251,6297,8767,1293,1009,1440,980,926,1066,961,670,497,1247,1417,1553,899,334,186,216,37853,39732,28987,51033
154,"Celina, OH Micro Area",40863,16380,39812,12401,923,1814,2796,2636,2684,112,1451,22,20030,19275,13731,755,5544,3399,723,646,1127,896,714,939,902,857,651,1513,1919,2443,1292,587,408,302,53099,54059,,36364
155,16420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,"Centralia, IL Micro Area",38665,16460,35957,7600,1810,2492,4282,3263,2544,146,1094,56,16452,16190,11581,262,4609,6965,1251,1109,1267,1245,843,919,861,753,781,1270,1698,1970,869,400,364,183,42238,43310,30912,23571
157,"Centralia, WA Micro Area",75515,16500,69281,14017,2559,5583,9241,6218,4888,516,2383,292,28440,28045,21481,395,6564,12126,2141,1876,1944,1804,1692,2068,1860,1657,1191,2805,3244,3141,1995,1084,684,329,44100,44557,38457,39520
158,"Chambersburg-Waynesboro, PA Metro Area",152285,16540,141544,40759,5341,6225,9882,8152,12602,854,5881,638,70142,56696,48776,13446,7920,17554,2682,2631,3161,2716,3264,3150,3091,3282,3137,4942,7195,8304,5388,2543,1959,1125,53916,55109,30214,38934
159,"Champaign-Urbana, IL Metro Area",236096,16580,180574,29913,4669,9248,19483,11366,29601,3215,16907,6170,114569,113914,99803,655,14111,46093,11342,4422,4888,5458,4665,4756,4063,3994,3462,7276,8824,11198,6749,4006,3328,3752,48323,53866,26103,37945
160,"Charleston, WV Metro Area",223922,16620,201822,52929,9565,9250,20665,9735,21294,3473,10169,1424,92199,91297,79308,902,11989,37762,7886,6247,6249,6261,5700,5348,5292,4906,4558,7957,9725,10790,5707,3367,2471,2793,44666,45596,28887,53750
161,"Charleston-Mattoon, IL Micro Area",63980,16660,60026,11010,2218,3570,5865,4400,5305,332,2475,729,29297,29101,22457,196,6644,12651,2397,2072,1714,1898,1551,1650,1242,1231,1091,1976,2423,2774,1506,796,566,486,40512,41447,15673,21042
162,"Charleston-North Charleston, SC Metro Area",712232,16700,480080,105109,17593,28670,77837,42441,100370,9749,39918,6137,336607,332352,223559,4255,108793,107183,21055,12984,13601,13845,13078,13685,13151,12467,11297,22499,28560,34212,22610,11930,11877,12053,53447,63615,32126,39139
163,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2338792,16740,1609650,328218,57943,98123,237728,132839,341049,24289,120873,13419,1088302,1002198,761772,86104,240426,343743,58519,44759,44419,46435,45226,45996,42944,42899,38840,70200,87401,105794,68389,41698,42361,45639,53076,60343,36674,39513
164,"Charlottesville, VA Metro Area",225070,16820,176580,31519,6001,7963,16783,9149,32084,6247,18367,6074,104300,103244,52910,1056,50334,29206,6639,3313,3296,3735,4084,3487,3762,4449,3442,6391,9294,10793,7861,4662,4761,5580,60240,63640,38076,49723
165,"Chattanooga, TN-GA Metro Area",541124,16860,440855,89642,22999,24736,62490,28242,57390,5936,22989,3397,242287,205033,177940,37254,27093,83900,16824,13597,12652,12365,11699,11938,11308,10133,9695,18137,20499,24070,15022,8353,6955,6165,46968,50516,28836,37373
166,"Cheyenne, WY Metro Area",95431,16940,83845,13198,3469,5472,11087,8116,11273,1099,4380,885,47602,46124,45415,1478,709,9369,1408,1655,1767,1687,1735,1939,2027,1668,1501,3079,3949,5410,4217,2300,1872,1080,60706,63653,48929,42148
167,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9534008,16980,6340359,1383146,181955,364788,910029,442898,1374338,157049,634205,82370,4476316,4334516,3283073,141800,1051443,1314681,236285,143977,158821,160088,147246,154197,143810,144609,127426,256899,341776,441324,321067,201873,226569,242532,61828,70314,35480,47698
168,"Chico, CA Metro Area",222564,17020,185408,27715,4681,12578,29736,14184,25062,2763,7667,1516,86547,86296,79201,251,7095,47532,7162,6706,6226,5604,4644,5038,4407,4097,3471,6827,7772,8748,5589,3499,3148,2380,43444,44755,27031,35563
169,"Chillicothe, OH Micro Area",77334,17060,69859,20402,2770,3976,5627,5100,5033,422,2332,167,29336,29183,20783,153,8400,13746,2372,1500,1940,2053,1682,1754,1752,1525,1236,2356,2930,3257,1881,892,582,557,43345,43924,37450,
170,"Cincinnati, OH-KY-IN Metro Area",2139466,17140,1767230,375069,58472,89096,191887,116612,278409,26241,117541,17704,1005702,896060,592341,109642,303719,295263,61455,41767,40804,41947,39267,40010,37342,36765,33466,65707,85730,102906,70218,41656,44233,39406,55501,60512,27426,43159
171,"Claremont-Lebanon, NH-VT Micro Area",217555,17200,206690,43150,6572,8057,18900,12864,29627,4111,15086,4040,107316,90334,69921,16982,20413,23247,4717,5041,4153,4641,4208,5047,4198,4343,4087,7487,9661,12169,7178,4148,4006,4026,54744,54978,72708,34661
172,"Clarksburg, WV Micro Area",94176,17220,90453,22724,4539,4342,9048,4597,8565,712,3105,383,38515,37847,27110,668,10737,14993,3567,2512,2348,2463,2128,2208,1837,1879,1787,2686,3825,3914,2639,1372,925,818,43728,44035,33542,42850
173,"Clarksdale, MS Micro Area",25254,17260,5710,3142,1080,721,2538,1613,1929,114,570,79,8430,8255,6611,175,1644,8420,1927,815,949,544,564,590,536,470,373,592,635,712,316,88,171,78,28851,53536,21972,30958
174,"Clarksville, TN-KY Metro Area",274389,17300,199889,42104,9499,14673,30207,15067,24039,1748,9657,1204,118644,92063,79962,26581,12101,44826,8577,4177,5071,5963,5905,5732,5558,6081,4706,9115,11950,11453,5963,3161,2550,1807,46614,50037,37066,45881
175,"Clearlake, CA Micro Area",64158,17340,51076,11195,1880,4032,9060,5398,4988,422,1659,291,21914,21858,16885,56,4973,15597,2700,2444,2318,2179,1876,1836,1153,1201,1200,1907,2148,2798,1491,694,576,472,35578,37724,24111,31597
176,"Cleveland, MS Micro Area",33803,17380,11197,4304,1015,792,3739,1317,2938,149,1195,218,11705,11591,9653,114,1938,11900,2162,1592,1031,906,814,802,658,540,305,772,791,1045,407,255,201,101,27585,52659,20614,14746
177,"Cleveland, TN Metro Area",118749,17420,109740,21159,6051,6059,11602,6202,9551,728,3985,482,49092,46650,34189,2442,12461,22451,3886,3229,3525,3025,2869,2794,2228,2569,1857,3871,4075,5318,2754,1344,987,880,41643,42134,30964,27690
178,"Cleveland-Elyria, OH Metro Area",2064483,17460,1532711,377595,50345,102578,212423,112264,254680,32089,113677,16317,949823,943300,713210,6523,230090,313983,74811,48320,48986,47660,44371,45053,40765,39263,35050,66293,83764,100038,65180,38377,35750,33927,49925,57304,26789,36131
179,"Clewiston, FL Micro Area",38363,17500,28307,6181,1525,997,2637,1399,1496,83,689,66,14505,14499,10954,6,3545,9696,1074,840,990,1326,531,621,708,562,356,912,1077,1092,452,284,306,214,36771,40931,22298,34684
180,"Clinton, IA Micro Area",48365,17540,45280,10696,1401,2838,5230,3810,4644,294,1436,142,22994,21297,17267,1697,4030,6608,1193,1423,1319,1166,974,1172,901,1300,510,1511,2131,2635,1784,956,594,498,50498,52613,19125,43678
181,"Clovis, NM Micro Area",50497,17580,35179,6018,1661,1752,6172,3113,3827,218,2199,91,22321,21424,20438,897,986,10338,1780,1412,1123,1172,1177,1371,791,902,909,1360,1489,2342,887,661,515,271,41084,46239,29976,31586
182,"Coamo, PR Micro Area",40293,17620,27284,8340,317,301,2448,2035,4134,22,1224,259,11095,11069,5025,26,6044,19842,4083,1659,1595,1171,853,757,922,471,358,681,429,384,77,43,130,35,18233,20020,15648,18278
183,"Coco, PR Micro Area",30114,17640,16947,6250,321,120,2010,1692,2477,26,824,112,7457,7457,3701,0,3756,16746,3867,1596,1034,1000,685,550,364,525,252,496,321,314,23,0,0,0,15240,17572,15401,15264
184,"Coeur d'Alene, ID Metro Area",145046,17660,136887,22812,5060,8736,20280,10756,15458,1545,4983,862,64059,52287,50193,11772,2094,18634,3287,2996,3224,2969,3152,3491,3505,2934,3017,5254,6745,6397,4087,2053,1577,1733,49403,49872,,52289
185,"Coffeyville, KS Micro Area",34184,17700,29215,5806,1504,2498,3831,2691,2546,165,1071,108,14376,13535,12350,841,1185,6303,1281,1165,1013,736,897,729,709,853,806,1108,1333,1428,785,290,151,151,41083,42705,15932,34886
186,"Coldwater, MI Micro Area",43706,17740,41380,10132,2044,2774,4612,2674,2682,186,1023,135,18061,16241,11902,1820,4339,7310,1113,947,1018,1246,957,919,1042,873,779,1350,1898,1941,885,434,352,268,44373,44359,,24904
187,"College Station-Bryan, TX Metro Area",239096,17780,177848,23290,6307,7328,19140,6604,24085,2235,11677,5927,109820,109043,94846,777,14197,58809,12383,5488,4990,5226,5058,4227,4802,3578,3267,5975,7454,8939,5518,3398,3024,2997,41067,46558,27047,36272
188,"Colorado Springs, CO Metro Area",678364,17820,547666,76145,15365,31934,78945,48521,94193,7462,47129,5482,323522,319273,301045,4249,18228,76761,13759,9782,11306,13198,11508,12789,11912,11852,11598,22428,27260,33517,23378,14600,14562,11419,58414,61269,47779,43164
189,"Columbia, MO Metro Area",170770,17860,140147,16647,3490,5889,13402,6584,26727,3562,12615,4364,88163,87307,79173,856,8134,31824,7356,3585,3743,3245,3177,3705,3018,3157,2557,5032,6688,7991,5183,2961,3196,2386,49899,52249,28734,41598
190,"Columbia, SC Metro Area",792530,17900,479605,118690,19292,28799,83087,46781,98397,8923,44716,6239,369320,364027,249814,5293,114213,124072,24173,15657,15331,17700,16946,16660,14771,15667,12551,25329,30735,36825,22952,12704,10680,9296,49793,57505,35585,41667
191,"Columbus, GA-AL Metro Area",312016,17980,161996,46628,10627,14663,36881,17138,28231,3566,11838,1831,134599,114089,89377,20510,24712,56762,11209,7266,7224,7305,6589,7020,6435,5433,4401,9662,10907,12138,6894,3478,3307,2957,42456,52970,31723,44466
