,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
474,"Laredo, TX Metro Area",263251,29700,247970,29119,5722,7160,17990,8806,16999,1261,5592,612,96567,95769,92821,798,2948,82307,9174,5381,5128,3971,4053,4312,3608,3324,2945,5449,6266,6668,4107,2290,1618,1374,38862,38614,123355,37705
475,"Las Cruces, NM Metro Area",213963,29740,190551,22574,5453,6977,20106,9261,20691,1835,10562,2251,89087,74818,72553,14269,2265,58846,8360,5494,5669,6321,4534,3740,4024,4063,3183,5195,6143,7555,4092,2357,2305,1727,38853,39110,50718,30930
476,"Las Vegas, NM Micro Area",28668,29780,16157,4562,996,1024,4073,1393,2056,237,1361,257,9726,9655,7247,71,2408,8093,2155,1142,767,791,630,686,619,423,438,725,764,774,548,120,133,73,29237,36446,,28367
477,"Las Vegas-Henderson-Paradise, NV Metro Area",2035572,29820,1297687,340005,51730,97570,248194,104823,205005,21336,71400,10484,912471,898760,896293,13711,2467,315358,48426,33491,35673,39925,39449,43299,37415,37290,35204,62954,80173,90944,54516,30985,29646,25056,51575,54767,37604,43244
478,"Laurel, MS Micro Area",84864,29860,54828,13771,2869,2987,9545,5399,5637,772,3059,216,32152,31191,22998,961,8193,19141,3669,2773,2358,2475,2126,1985,1343,2102,1481,2133,2818,2643,1355,868,595,710,36032,43573,23490,
479,"Laurinburg, NC Micro Area",35932,29900,16548,6481,1596,1244,3507,2102,2391,227,918,222,11010,10432,7468,578,2964,10504,2201,1242,1146,959,768,723,760,688,459,964,1002,939,662,314,115,54,30958,42317,18483,50500
480,"Lawrence, KS Metro Area",114967,29940,96909,10854,2112,3969,8824,3896,17035,2119,9455,3215,60328,58134,44263,2194,13871,20137,3716,2581,2468,2577,2247,2211,2058,1907,1658,4058,4105,4956,3518,2043,1950,1676,50939,52173,38934,39315
481,"Lawrenceburg, TN Micro Area",42226,29980,40149,9374,2600,2172,3075,1722,2216,287,986,42,16093,14887,10583,1206,4304,8443,1410,1262,1174,1307,1132,1199,965,683,887,1255,1672,1730,802,305,147,174,37814,38281,21068,49318
482,"Lawton, OK Metro Area",131643,30020,85803,22715,4852,6938,16047,5683,11464,752,3890,735,60298,59339,56108,959,3231,21474,3562,2881,2680,2773,2620,2721,2704,2262,2256,3639,4979,5101,3615,1511,1342,1023,46245,49917,36518,46611
483,"Lebanon, MO Micro Area",35514,30060,34006,7781,1573,2247,3126,1489,2217,144,870,115,14540,14303,11800,237,2503,6816,1353,856,1145,965,1048,707,738,824,705,1279,1332,1302,578,317,277,119,39712,40029,,44762
